epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,802.516,0.42618,0.24376,0.86998,0.99908,1,0.995,0.91201,0.43798,0.20694,0.86992,0.00135438,0.00135438,0.00135438
45,820.325,0.41716,0.23843,0.8639,0.99919,1,0.995,0.88341,0.53473,0.22161,0.91068,0.00134073,0.00134073,0.00134073
46,838.203,0.42604,0.24316,0.8748,0.99912,1,0.995,0.88465,0.48847,0.22568,0.88638,0.00132685,0.00132685,0.00132685
47,856.273,0.40939,0.23238,0.85988,0.9992,1,0.995,0.90367,0.45827,0.22084,0.86823,0.00131277,0.00131277,0.00131277
48,874.13,0.40694,0.22919,0.86512,0.99915,1,0.995,0.86196,0.60724,0.24892,0.93653,0.00129847,0.00129847,0.00129847
49,891.949,0.42766,0.24198,0.86501,0.99935,1,0.995,0.91804,0.4516,0.21766,0.86779,0.00128398,0.00128398,0.00128398
50,909.917,0.40707,0.23063,0.86874,0.99911,1,0.995,0.9101,0.4643,0.20155,0.87446,0.00126929,0.00126929,0.00126929
51,927.639,0.41079,0.22691,0.86046,0.99915,1,0.995,0.89881,0.47819,0.21936,0.88363,0.00125442,0.00125442,0.00125442
52,945.933,0.39446,0.22058,0.85717,0.99929,1,0.995,0.90049,0.50076,0.22169,0.88313,0.00123936,0.00123936,0.00123936
53,963.795,0.40419,0.2315,0.86128,0.99921,1,0.995,0.93401,0.38995,0.21301,0.85707,0.00122413,0.00122413,0.00122413
54,981.541,0.41133,0.24001,0.86111,0.99712,1,0.995,0.89884,0.48679,0.23955,0.89271,0.00120873,0.00120873,0.00120873
55,999.297,0.39996,0.22007,0.86862,0.99928,1,0.995,0.89144,0.53029,0.22101,0.91747,0.00119317,0.00119317,0.00119317
56,1017.06,0.39624,0.22204,0.86317,0.99861,1,0.995,0.92922,0.38621,0.19173,0.85502,0.00117746,0.00117746,0.00117746
57,1034.95,0.39763,0.21974,0.86395,0.99936,1,0.995,0.92949,0.42043,0.19261,0.8633,0.0011616,0.0011616,0.0011616
